CpGs,Clock
cg00075967,Horvath
cg00374717,Horvath
cg00864867,Horvath
cg00945507,Horvath
cg01027739,Horvath
cg01353448,Horvath
cg01584473,Horvath
cg01644850,Horvath
cg01656216,Horvath
cg01873645,Horvath
cg01968178,Horvath
cg02085507,Horvath
cg02154074,Horvath
cg02217159,Horvath
cg02331561,Horvath
cg02332492,Horvath
cg02364642,Horvath
cg02388150,Horvath
cg02479575,Horvath
cg02489552,Horvath
cg02580606,Horvath
cg02654291,Horvath
cg02827112,Horvath
cg02972551,Horvath
cg03103192,Horvath
cg03167275,Horvath
cg03270204,Horvath
cg03565323,Horvath
cg03588357,Horvath
cg03760483,Horvath
cg04084157,Horvath
cg04126866,Horvath
cg04528819,Horvath
cg04836038,Horvath
cg05250458,Horvath
cg05294243,Horvath
cg05365729,Horvath
cg05675373,Horvath
cg05755779,Horvath
cg05921699,Horvath
cg05960024,Horvath
cg06121469,Horvath
cg06144905,Horvath
cg06361108,Horvath
cg06462291,Horvath
cg06493994,Horvath
cg06557358,Horvath
cg06738602,Horvath
cg06810647,Horvath
cg06952310,Horvath
cg06993413,Horvath
cg07285276,Horvath
cg07291563,Horvath
cg07337598,Horvath
cg07455279,Horvath
cg07595943,Horvath
cg08030082,Horvath
cg08090772,Horvath
cg08124722,Horvath
cg08251036,Horvath
cg08370996,Horvath
cg08413469,Horvath
cg08434234,Horvath
cg08771731,Horvath
cg08965235,Horvath
cg09019938,Horvath
cg09118625,Horvath
cg09191327,Horvath
cg09418283,Horvath
cg09509673,Horvath
cg09785172,Horvath
cg09869858,Horvath
cg09885951,Horvath
cg10281002,Horvath
cg10376763,Horvath
cg10377274,Horvath
cg10486998,Horvath
cg10523019,Horvath
cg10920957,Horvath
cg11932564,Horvath
cg12351433,Horvath
cg12373771,Horvath
cg12768605,Horvath
cg12830694,Horvath
cg12946225,Horvath
cg13038560,Horvath
cg13216057,Horvath
cg13319175,Horvath
cg13460409,Horvath
cg13682722,Horvath
cg13836627,Horvath
cg13854874,Horvath
cg13899108,Horvath
cg13975369,Horvath
cg14258236,Horvath
cg14308452,Horvath
cg14329157,Horvath
cg14424579,Horvath
cg14501253,Horvath
cg14658362,Horvath
cg14723032,Horvath
cg14894144,Horvath
cg14992253,Horvath
cg15341340,Horvath
cg15381769,Horvath
cg15547534,Horvath
cg15661409,Horvath
cg15974053,Horvath
cg15988232,Horvath
cg16150435,Horvath
cg16241714,Horvath
cg16494477,Horvath
cg16547529,Horvath
cg16579101,Horvath
cg17063929,Horvath
cg17099569,Horvath
cg17285325,Horvath
cg17408647,Horvath
cg17655614,Horvath
cg17729667,Horvath
cg17853587,Horvath
cg17960516,Horvath
cg18055007,Horvath
cg18180783,Horvath
cg18440048,Horvath
cg18573383,Horvath
cg18983672,Horvath
cg18984151,Horvath
cg19008809,Horvath
cg19167673,Horvath
cg19273182,Horvath
cg19305227,Horvath
cg19346193,Horvath
cg19478743,Horvath
cg19514928,Horvath
cg19692710,Horvath
cg19945840,Horvath
cg20295671,Horvath
cg20305610,Horvath
cg20524216,Horvath
cg20692569,Horvath
cg20761322,Horvath
cg20795863,Horvath
cg20828084,Horvath
cg20914508,Horvath
cg20947775,Horvath
cg20999813,Horvath
cg21096399,Horvath
cg21378206,Horvath
cg21460081,Horvath
cg21801378,Horvath
cg21870884,Horvath
cg22006386,Horvath
cg22289837,Horvath
